Pacific/Guadalcanal,Solomon Is. Time,+11:00
Pacific/Guam,Chamorro Standard Time,+10:00
Pacific/Honolulu,Hawaii Standard Time,-10:00
Pacific/Johnston,Hawaii Standard Time,-10:00
Pacific/Kiritimati,Line Is. Time,+14:00
Pacific/Kosrae,Kosrae Time,+11:00
Pacific/Kwajalein,Marshall Islands Time,+12:00
Pacific/Majuro,Marshall Islands Time,+12:00
Pacific/Marquesas,Marquesas Time,-9:30
Pacific/Midway,Samoa Standard Time,-11:00
Pacific/Nauru,Nauru Time,+12:00
Pacific/Niue,Niue Time,-11:00
Pacific/Norfolk,Norfolk Time,+11:00
Pacific/Noumea,New Caledonia Time,+11:00
Pacific/Pago_Pago,Samoa Standard Time,-11:00
Pacific/Palau,Palau Time,+9:00
Pacific/Pitcairn,Pitcairn Standard Time,-8:00
Pacific/Pohnpei,Pohnpei Time,+11:00
Pacific/Ponape,Pohnpei Time,+11:00
Pacific/Port_Moresby,Papua New Guinea Time,+10:00
Pacific/Rarotonga,Cook Is. Time,-10:00
Pacific/Saipan,Chamorro Standard Time,+10:00
Pacific/Samoa,Samoa Standard Time,-11:00
Pacific/Tahiti,Tahiti Time,-10:00
Pacific/Tarawa,Gilbert Is. Time,+12:00
Pacific/Tongatapu,Tonga Time,+13:00
Pacific/Truk,Chuuk Time,+10:00
Pacific/Wake,Wake Time,+12:00
Pacific/Wallis,Wallis & Futuna Time,+12:00
Pacific/Yap,Chuuk Time,+10:00
Poland,Central European Time,+1:00
Portugal,Western European Time,+0:00
ROK,Korea Standard Time,+9:00
SST,Solomon Is. Time,+11:00
Singapore,Singapore Time,+8:00
SystemV/AST4,Atlantic Standard Time,-4:00
SystemV/AST4ADT,Atlantic Standard Time,-4:00
SystemV/CST6,Central Standard Time,-6:00
SystemV/CST6CDT,Central Standard Time,-6:00
SystemV/EST5,Eastern Standard Time,-5:00
SystemV/EST5EDT,Eastern Standard Time,-5:00
SystemV/HST10,Hawaii Standard Time,-10:00
SystemV/MST7,Mountain Standard Time,-7:00
SystemV/MST7MDT,Mountain Standard Time,-7:00
SystemV/PST8,Pacific Standard Time,-8:00
SystemV/PST8PDT,Pacific Standard Time,-8:00
SystemV/YST9,Alaska Standard Time,-9:00
SystemV/YST9YDT,Alaska Standard Time,-9:00
Turkey,Eastern European Time,+3:00
UCT,Coordinated Universal Time,+0:00
US/Alaska,Alaska Standard Time,-9:00
US/Aleutian,Hawaii Standard Time,-10:00
US/Arizona,Mountain Standard Time,-7:00
US/Central,Central Standard Time,-6:00
US/East-Indiana,Eastern Standard Time,-5:00
US/Eastern,Eastern Standard Time,-5:00
US/Hawaii,Hawaii Standard Time,-10:00
US/Indiana-Starke,Central Standard Time,-6:00
US/Michigan,Eastern Standard Time,-5:00
US/Mountain,Mountain Standard Time,-7:00
US/Pacific,Pacific Standard Time,-8:00
US/Pacific-New,Pacific Standard Time,-8:00
US/Samoa,Samoa Standard Time,-11:00
UTC,Coordinated Universal Time,+0:00
Universal,Coordinated Universal Time,+0:00
VST,Indochina Time,+7:00
W-SU,Moscow Standard Time,+3:00
WET,Western European Time,+0:00
Zulu,Coordinated Universal Time,+0:00
